video_id	side	t_sec	game_idx	frame_idx	chain_count_off	chain_count_on	total_erased_off	total_erased_on	total_ojama_off	total_ojama_on
c36	2P	2879.83	45	172790	1	1	5	4	0	0
c36	2P	3140.57	50	188434	1	0	4	0	0	0
c36	2P	3141.10	50	188466	1	1	5	4	0	0
c36	1P	3197.87	51	191872	1	0	4	0	0	0
c36	1P	3200.47	51	192028	1	0	4	0	0	0
c36	1P	3201.20	51	192072	1	0	4	0	0	0
c36	1P	3201.93	51	192116	1	0	4	0	0	0
c36	1P	3204.30	51	192258	1	1	8	4	1	1
c36	1P	3207.30	51	192438	1	1	8	4	0	0
c37	1P	587.33	6	35240	1	0	4	0	1	0
c37	1P	1574.23	24	94454	1	0	4	0	1	0
c4	2P	154.17	0	9250	1	0	4	0	0	0
c4	2P	155.60	0	9336	1	0	4	0	0	0
c4	2P	156.90	0	9414	1	0	4	0	1	0
c4	2P	157.17	0	9430	1	0	4	0	1	0
c40	2P	715.60	9	21468	1	0	4	0	0	0
c40	1P	1386.83	21	41605	1	1	5	4	1	1
c40	1P	2398.73	38	71962	1	0	4	0	0	0
c40	1P	2399.93	38	71998	1	0	4	0	3	0
c40	1P	2400.70	38	72021	1	0	4	0	3	0
c40	1P	2598.10	41	77943	1	0	4	0	0	0
c40	1P	2598.83	41	77965	1	0	4	0	2	0
c40	1P	2599.07	41	77972	1	0	4	0	2	0
c41	2P	3454.73	55	207284	1	0	4	0	2	0
c41	2P	3455.03	55	207302	4	4	23	24	5	4
c42	2P	1023.70	18	61422	1	0	4	0	0	0
c43	1P	1635.03	24	49051	1	0	4	0	0	0
c43	1P	1636.97	24	49109	1	0	4	0	0	0
c44	2P	832.80	13	49968	1	0	4	0	1	0
c44	2P	833.20	13	49992	1	1	9	5	2	2
c44	2P	837.60	13	50256	1	0	4	0	0	0
c45	1P	920.00	11	27600	1	0	4	0	1	0
c45	1P	921.00	11	27630	1	0	4	0	1	0
c45	1P	921.37	11	27641	1	0	4	0	1	0
c45	1P	921.40	11	27642	1	0	4	0	1	0
c45	1P	2344.13	37	70324	1	0	4	0	0	0
c46	2P	1984.20	33	119052	1	0	4	0	0	0
